train_loss,val_loss,train_acc,val_acc
0.9254961249218684,1.0994417301416397,84.92857142857143,68.075
0.43439429222720943,0.9791860277652741,96.07142857142857,71.15
0.3728239954742667,0.9437904686927795,96.93571428571428,72.525
0.34986626867153875,0.9610929461717606,97.66428571428571,72.175
0.3425427112541242,0.9233962670564652,97.35714285714286,74.05
0.21625886153276652,0.6075378006696701,99.65,85.675
0.16524381520541293,0.5065322842597961,99.98571428571428,88.725
0.15436029379770635,0.4734383773803711,99.99285714285715,89.175
0.14914917153174476,0.487958278298378,100.0,88.65
0.1465512925427254,0.4778663184642792,100.0,88.325
0.1447488626116487,0.4686739054918289,100.0,88.325
