,precision,recall,f1-score,support
palm,1.0,0.995,0.9974937343358395,200.0
l,1.0,1.0,1.0,200.0
fist,0.9942857142857143,0.87,0.928,200.0
fist_moved,0.8849557522123894,1.0,0.9389671361502347,200.0
thumb,1.0,1.0,1.0,200.0
index,1.0,1.0,1.0,200.0
ok,1.0,1.0,1.0,200.0
palm_moved,1.0,1.0,1.0,200.0
c,1.0,1.0,1.0,200.0
down,1.0,1.0,1.0,200.0
accuracy,0.9865,0.9865,0.9865,0.9865
macro avg,0.9879241466498104,0.9865,0.9864460870486074,2000.0
weighted avg,0.9879241466498104,0.9865,0.9864460870486075,2000.0
